dataset_name,gan_image_id,fold_id,round_id,train_fold_id,test_fold_ids,binary_label,binary_group,seed,image_size,file_path,source_file_256,snapshot_path,source_type
dataset2,diffusion_gan_dataset2_fold1_seed20000_224,1,1,1,"2,3,4,5",0,cocci,20000,224,gan_images_224/diffusion_gan/dataset2/fold_1/seed20000.png,gan_images_256/diffusion_gan/dataset2/fold_1/seed20000.png,checkpoints/40_train_diffusion_gan_make_images_dataset2/fold_1/00000-fold_1_minority_256-mirror-auto1-batch8-target0.6-ada_kimg100-ts_dist-priority-image_augno-noise_sd0.05-dg_d2_f1/network-snapshot-000200.pkl,diffusion_gan_generated
dataset2,diffusion_gan_dataset2_fold1_seed20001_224,1,1,1,"2,3,4,5",0,cocci,20001,224,gan_images_224/diffusion_gan/dataset2/fold_1/seed20001.png,gan_images_256/diffusion_gan/dataset2/fold_1/seed20001.png,checkpoints/40_train_diffusion_gan_make_images_dataset2/fold_1/00000-fold_1_minority_256-mirror-auto1-batch8-target0.6-ada_kimg100-ts_dist-priority-image_augno-noise_sd0.05-dg_d2_f1/network-snapshot-000200.pkl,diffusion_gan_generated
dataset2,diffusion_gan_dataset2_fold1_seed20002_224,1,1,1,"2,3,4,5",0,cocci,20002,224,gan_images_224/diffusion_gan/dataset2/fold_1/seed20002.png,gan_images_256/diffusion_gan/dataset2/fold_1/seed20002.png,checkpoints/40_train_diffusion_gan_make_images_dataset2/fold_1/00000-fold_1_minority_256-mirror-auto1-batch8-target0.6-ada_kimg100-ts_dist-priority-image_augno-noise_sd0.05-dg_d2_f1/network-snapshot-000200.pkl,diffusion_gan_generated
dataset2,diffusion_gan_dataset2_fold1_seed20003_224,1,1,1,"2,3,4,5",0,cocci,20003,224,gan_images_224/diffusion_gan/dataset2/fold_1/seed20003.png,gan_images_256/diffusion_gan/dataset2/fold_1/seed20003.png,checkpoints/40_train_diffusion_gan_make_images_dataset2/fold_1/00000-fold_1_minority_256-mirror-auto1-batch8-target0.6-ada_kimg100-ts_dist-priority-image_augno-noise_sd0.05-dg_d2_f1/network-snapshot-000200.pkl,diffusion_gan_generated
dataset2,diffusion_gan_dataset2_fold1_seed20004_224,1,1,1,"2,3,4,5",0,cocci,20004,224,gan_images_224/diffusion_gan/dataset2/fold_1/seed20004.png,gan_images_256/diffusion_gan/dataset2/fold_1/seed20004.png,checkpoints/40_train_diffusion_gan_make_images_dataset2/fold_1/00000-fold_1_minority_256-mirror-auto1-batch8-target0.6-ada_kimg100-ts_dist-priority-image_augno-noise_sd0.05-dg_d2_f1/network-snapshot-000200.pkl,diffusion_gan_generated
dataset2,diffusion_gan_dataset2_fold1_seed20005_224,1,1,1,"2,3,4,5",0,cocci,20005,224,gan_images_224/diffusion_gan/dataset2/fold_1/seed20005.png,gan_images_256/diffusion_gan/dataset2/fold_1/seed20005.png,checkpoints/40_train_diffusion_gan_make_images_dataset2/fold_1/00000-fold_1_minority_256-mirror-auto1-batch8-target0.6-ada_kimg100-ts_dist-priority-image_augno-noise_sd0.05-dg_d2_f1/network-snapshot-000200.pkl,diffusion_gan_generated
dataset2,diffusion_gan_dataset2_fold1_seed20006_224,1,1,1,"2,3,4,5",0,cocci,20006,224,gan_images_224/diffusion_gan/dataset2/fold_1/seed20006.png,gan_images_256/diffusion_gan/dataset2/fold_1/seed20006.png,checkpoints/40_train_diffusion_gan_make_images_dataset2/fold_1/00000-fold_1_minority_256-mirror-auto1-batch8-target0.6-ada_kimg100-ts_dist-priority-image_augno-noise_sd0.05-dg_d2_f1/network-snapshot-000200.pkl,diffusion_gan_generated
dataset2,diffusion_gan_dataset2_fold1_seed20007_224,1,1,1,"2,3,4,5",0,cocci,20007,224,gan_images_224/diffusion_gan/dataset2/fold_1/seed20007.png,gan_images_256/diffusion_gan/dataset2/fold_1/seed20007.png,checkpoints/40_train_diffusion_gan_make_images_dataset2/fold_1/00000-fold_1_minority_256-mirror-auto1-batch8-target0.6-ada_kimg100-ts_dist-priority-image_augno-noise_sd0.05-dg_d2_f1/network-snapshot-000200.pkl,diffusion_gan_generated
dataset2,diffusion_gan_dataset2_fold1_seed20008_224,1,1,1,"2,3,4,5",0,cocci,20008,224,gan_images_224/diffusion_gan/dataset2/fold_1/seed20008.png,gan_images_256/diffusion_gan/dataset2/fold_1/seed20008.png,checkpoints/40_train_diffusion_gan_make_images_dataset2/fold_1/00000-fold_1_minority_256-mirror-auto1-batch8-target0.6-ada_kimg100-ts_dist-priority-image_augno-noise_sd0.05-dg_d2_f1/network-snapshot-000200.pkl,diffusion_gan_generated
dataset2,diffusion_gan_dataset2_fold1_seed20009_224,1,1,1,"2,3,4,5",0,cocci,20009,224,gan_images_224/diffusion_gan/dataset2/fold_1/seed20009.png,gan_images_256/diffusion_gan/dataset2/fold_1/seed20009.png,checkpoints/40_train_diffusion_gan_make_images_dataset2/fold_1/00000-fold_1_minority_256-mirror-auto1-batch8-target0.6-ada_kimg100-ts_dist-priority-image_augno-noise_sd0.05-dg_d2_f1/network-snapshot-000200.pkl,diffusion_gan_generated
