dataset_name,gan_patch_id,image_id,species_name,binary_label,binary_group,fold_id,patch_size,x_start,y_start,raw_path,file_path,source_type
dataset2,Enterococcus_faecalis_03_256_256_256,Enterococcus.faecalis_03,Enterococcus.faecalis,0,cocci,1,256,256,256,Dataset-Bacteria/Enterococcus faecalis/03.png,gan_patches_256/dataset2/fold_1/Enterococcus_faecalis_03_256_256_256.png,real_cocci_for_gan
dataset2,Enterococcus_faecalis_03_256_512_256,Enterococcus.faecalis_03,Enterococcus.faecalis,0,cocci,1,256,512,256,Dataset-Bacteria/Enterococcus faecalis/03.png,gan_patches_256/dataset2/fold_1/Enterococcus_faecalis_03_256_512_256.png,real_cocci_for_gan
dataset2,Enterococcus_faecalis_03_256_768_256,Enterococcus.faecalis_03,Enterococcus.faecalis,0,cocci,1,256,768,256,Dataset-Bacteria/Enterococcus faecalis/03.png,gan_patches_256/dataset2/fold_1/Enterococcus_faecalis_03_256_768_256.png,real_cocci_for_gan
dataset2,Enterococcus_faecalis_03_256_256_512,Enterococcus.faecalis_03,Enterococcus.faecalis,0,cocci,1,256,256,512,Dataset-Bacteria/Enterococcus faecalis/03.png,gan_patches_256/dataset2/fold_1/Enterococcus_faecalis_03_256_256_512.png,real_cocci_for_gan
dataset2,Enterococcus_faecalis_03_256_512_512,Enterococcus.faecalis_03,Enterococcus.faecalis,0,cocci,1,256,512,512,Dataset-Bacteria/Enterococcus faecalis/03.png,gan_patches_256/dataset2/fold_1/Enterococcus_faecalis_03_256_512_512.png,real_cocci_for_gan
dataset2,Enterococcus_faecalis_03_256_768_512,Enterococcus.faecalis_03,Enterococcus.faecalis,0,cocci,1,256,768,512,Dataset-Bacteria/Enterococcus faecalis/03.png,gan_patches_256/dataset2/fold_1/Enterococcus_faecalis_03_256_768_512.png,real_cocci_for_gan
dataset2,Enterococcus_faecalis_03_256_256_768,Enterococcus.faecalis_03,Enterococcus.faecalis,0,cocci,1,256,256,768,Dataset-Bacteria/Enterococcus faecalis/03.png,gan_patches_256/dataset2/fold_1/Enterococcus_faecalis_03_256_256_768.png,real_cocci_for_gan
dataset2,Enterococcus_faecalis_03_256_512_768,Enterococcus.faecalis_03,Enterococcus.faecalis,0,cocci,1,256,512,768,Dataset-Bacteria/Enterococcus faecalis/03.png,gan_patches_256/dataset2/fold_1/Enterococcus_faecalis_03_256_512_768.png,real_cocci_for_gan
dataset2,Enterococcus_faecalis_03_256_768_768,Enterococcus.faecalis_03,Enterococcus.faecalis,0,cocci,1,256,768,768,Dataset-Bacteria/Enterococcus faecalis/03.png,gan_patches_256/dataset2/fold_1/Enterococcus_faecalis_03_256_768_768.png,real_cocci_for_gan
dataset2,Enterococcus_faecalis_07_256_256_256,Enterococcus.faecalis_07,Enterococcus.faecalis,0,cocci,1,256,256,256,Dataset-Bacteria/Enterococcus faecalis/07.png,gan_patches_256/dataset2/fold_1/Enterococcus_faecalis_07_256_256_256.png,real_cocci_for_gan
dataset2,Enterococcus_faecalis_07_256_512_256,Enterococcus.faecalis_07,Enterococcus.faecalis,0,cocci,1,256,512,256,Dataset-Bacteria/Enterococcus faecalis/07.png,gan_patches_256/dataset2/fold_1/Enterococcus_faecalis_07_256_512_256.png,real_cocci_for_gan
dataset2,Enterococcus_faecalis_07_256_768_256,Enterococcus.faecalis_07,Enterococcus.faecalis,0,cocci,1,256,768,256,Dataset-Bacteria/Enterococcus faecalis/07.png,gan_patches_256/dataset2/fold_1/Enterococcus_faecalis_07_256_768_256.png,real_cocci_for_gan
dataset2,Enterococcus_faecalis_07_256_256_512,Enterococcus.faecalis_07,Enterococcus.faecalis,0,cocci,1,256,256,512,Dataset-Bacteria/Enterococcus faecalis/07.png,gan_patches_256/dataset2/fold_1/Enterococcus_faecalis_07_256_256_512.png,real_cocci_for_gan
dataset2,Enterococcus_faecalis_07_256_512_512,Enterococcus.faecalis_07,Enterococcus.faecalis,0,cocci,1,256,512,512,Dataset-Bacteria/Enterococcus faecalis/07.png,gan_patches_256/dataset2/fold_1/Enterococcus_faecalis_07_256_512_512.png,real_cocci_for_gan
dataset2,Enterococcus_faecalis_07_256_768_512,Enterococcus.faecalis_07,Enterococcus.faecalis,0,cocci,1,256,768,512,Dataset-Bacteria/Enterococcus faecalis/07.png,gan_patches_256/dataset2/fold_1/Enterococcus_faecalis_07_256_768_512.png,real_cocci_for_gan
dataset2,Enterococcus_faecalis_07_256_256_768,Enterococcus.faecalis_07,Enterococcus.faecalis,0,cocci,1,256,256,768,Dataset-Bacteria/Enterococcus faecalis/07.png,gan_patches_256/dataset2/fold_1/Enterococcus_faecalis_07_256_256_768.png,real_cocci_for_gan
dataset2,Enterococcus_faecalis_07_256_512_768,Enterococcus.faecalis_07,Enterococcus.faecalis,0,cocci,1,256,512,768,Dataset-Bacteria/Enterococcus faecalis/07.png,gan_patches_256/dataset2/fold_1/Enterococcus_faecalis_07_256_512_768.png,real_cocci_for_gan
dataset2,Enterococcus_faecalis_07_256_768_768,Enterococcus.faecalis_07,Enterococcus.faecalis,0,cocci,1,256,768,768,Dataset-Bacteria/Enterococcus faecalis/07.png,gan_patches_256/dataset2/fold_1/Enterococcus_faecalis_07_256_768_768.png,real_cocci_for_gan
dataset2,Enterococcus_faecalis_08_256_256_256,Enterococcus.faecalis_08,Enterococcus.faecalis,0,cocci,1,256,256,256,Dataset-Bacteria/Enterococcus faecalis/08.png,gan_patches_256/dataset2/fold_1/Enterococcus_faecalis_08_256_256_256.png,real_cocci_for_gan
dataset2,Enterococcus_faecalis_08_256_512_256,Enterococcus.faecalis_08,Enterococcus.faecalis,0,cocci,1,256,512,256,Dataset-Bacteria/Enterococcus faecalis/08.png,gan_patches_256/dataset2/fold_1/Enterococcus_faecalis_08_256_512_256.png,real_cocci_for_gan
dataset2,Enterococcus_faecalis_08_256_768_256,Enterococcus.faecalis_08,Enterococcus.faecalis,0,cocci,1,256,768,256,Dataset-Bacteria/Enterococcus faecalis/08.png,gan_patches_256/dataset2/fold_1/Enterococcus_faecalis_08_256_768_256.png,real_cocci_for_gan
dataset2,Enterococcus_faecalis_08_256_256_512,Enterococcus.faecalis_08,Enterococcus.faecalis,0,cocci,1,256,256,512,Dataset-Bacteria/Enterococcus faecalis/08.png,gan_patches_256/dataset2/fold_1/Enterococcus_faecalis_08_256_256_512.png,real_cocci_for_gan
dataset2,Enterococcus_faecalis_08_256_512_512,Enterococcus.faecalis_08,Enterococcus.faecalis,0,cocci,1,256,512,512,Dataset-Bacteria/Enterococcus faecalis/08.png,gan_patches_256/dataset2/fold_1/Enterococcus_faecalis_08_256_512_512.png,real_cocci_for_gan
dataset2,Enterococcus_faecalis_08_256_768_512,Enterococcus.faecalis_08,Enterococcus.faecalis,0,cocci,1,256,768,512,Dataset-Bacteria/Enterococcus faecalis/08.png,gan_patches_256/dataset2/fold_1/Enterococcus_faecalis_08_256_768_512.png,real_cocci_for_gan
dataset2,Enterococcus_faecalis_08_256_256_768,Enterococcus.faecalis_08,Enterococcus.faecalis,0,cocci,1,256,256,768,Dataset-Bacteria/Enterococcus faecalis/08.png,gan_patches_256/dataset2/fold_1/Enterococcus_faecalis_08_256_256_768.png,real_cocci_for_gan
dataset2,Enterococcus_faecalis_08_256_512_768,Enterococcus.faecalis_08,Enterococcus.faecalis,0,cocci,1,256,512,768,Dataset-Bacteria/Enterococcus faecalis/08.png,gan_patches_256/dataset2/fold_1/Enterococcus_faecalis_08_256_512_768.png,real_cocci_for_gan
dataset2,Enterococcus_faecalis_08_256_768_768,Enterococcus.faecalis_08,Enterococcus.faecalis,0,cocci,1,256,768,768,Dataset-Bacteria/Enterococcus faecalis/08.png,gan_patches_256/dataset2/fold_1/Enterococcus_faecalis_08_256_768_768.png,real_cocci_for_gan
dataset2,Enterococcus_faecalis_16_256_256_256,Enterococcus.faecalis_16,Enterococcus.faecalis,0,cocci,1,256,256,256,Dataset-Bacteria/Enterococcus faecalis/16.png,gan_patches_256/dataset2/fold_1/Enterococcus_faecalis_16_256_256_256.png,real_cocci_for_gan
dataset2,Enterococcus_faecalis_16_256_512_256,Enterococcus.faecalis_16,Enterococcus.faecalis,0,cocci,1,256,512,256,Dataset-Bacteria/Enterococcus faecalis/16.png,gan_patches_256/dataset2/fold_1/Enterococcus_faecalis_16_256_512_256.png,real_cocci_for_gan
dataset2,Enterococcus_faecalis_16_256_768_256,Enterococcus.faecalis_16,Enterococcus.faecalis,0,cocci,1,256,768,256,Dataset-Bacteria/Enterococcus faecalis/16.png,gan_patches_256/dataset2/fold_1/Enterococcus_faecalis_16_256_768_256.png,real_cocci_for_gan
dataset2,Enterococcus_faecalis_16_256_256_512,Enterococcus.faecalis_16,Enterococcus.faecalis,0,cocci,1,256,256,512,Dataset-Bacteria/Enterococcus faecalis/16.png,gan_patches_256/dataset2/fold_1/Enterococcus_faecalis_16_256_256_512.png,real_cocci_for_gan
