dataset_name,patch_id,image_id,species_name,binary_label,binary_group,fold_id,patch_size,x_start,y_start,raw_path,file_path,source_type
dataset2,Clostridium_perfringens_01_224_224_224,Clostridium.perfringens_01,Clostridium.perfringens,1,bacilli,1,224,224,224,Dataset-Bacteria/Clostridium perfringens/01.png,patches_224/dataset2/fold_1/Clostridium_perfringens_01_224_224_224.png,real
dataset2,Clostridium_perfringens_01_224_448_224,Clostridium.perfringens_01,Clostridium.perfringens,1,bacilli,1,224,448,224,Dataset-Bacteria/Clostridium perfringens/01.png,patches_224/dataset2/fold_1/Clostridium_perfringens_01_224_448_224.png,real
dataset2,Clostridium_perfringens_01_224_672_224,Clostridium.perfringens_01,Clostridium.perfringens,1,bacilli,1,224,672,224,Dataset-Bacteria/Clostridium perfringens/01.png,patches_224/dataset2/fold_1/Clostridium_perfringens_01_224_672_224.png,real
dataset2,Clostridium_perfringens_01_224_224_448,Clostridium.perfringens_01,Clostridium.perfringens,1,bacilli,1,224,224,448,Dataset-Bacteria/Clostridium perfringens/01.png,patches_224/dataset2/fold_1/Clostridium_perfringens_01_224_224_448.png,real
dataset2,Clostridium_perfringens_01_224_448_448,Clostridium.perfringens_01,Clostridium.perfringens,1,bacilli,1,224,448,448,Dataset-Bacteria/Clostridium perfringens/01.png,patches_224/dataset2/fold_1/Clostridium_perfringens_01_224_448_448.png,real
dataset2,Clostridium_perfringens_01_224_672_448,Clostridium.perfringens_01,Clostridium.perfringens,1,bacilli,1,224,672,448,Dataset-Bacteria/Clostridium perfringens/01.png,patches_224/dataset2/fold_1/Clostridium_perfringens_01_224_672_448.png,real
dataset2,Clostridium_perfringens_01_224_896_448,Clostridium.perfringens_01,Clostridium.perfringens,1,bacilli,1,224,896,448,Dataset-Bacteria/Clostridium perfringens/01.png,patches_224/dataset2/fold_1/Clostridium_perfringens_01_224_896_448.png,real
dataset2,Clostridium_perfringens_01_224_224_672,Clostridium.perfringens_01,Clostridium.perfringens,1,bacilli,1,224,224,672,Dataset-Bacteria/Clostridium perfringens/01.png,patches_224/dataset2/fold_1/Clostridium_perfringens_01_224_224_672.png,real
dataset2,Clostridium_perfringens_01_224_448_672,Clostridium.perfringens_01,Clostridium.perfringens,1,bacilli,1,224,448,672,Dataset-Bacteria/Clostridium perfringens/01.png,patches_224/dataset2/fold_1/Clostridium_perfringens_01_224_448_672.png,real
dataset2,Clostridium_perfringens_01_224_672_672,Clostridium.perfringens_01,Clostridium.perfringens,1,bacilli,1,224,672,672,Dataset-Bacteria/Clostridium perfringens/01.png,patches_224/dataset2/fold_1/Clostridium_perfringens_01_224_672_672.png,real
