dataset_name,patch_id,slide_id,species_name,binary_label,binary_group,fold_id,patch_size,x_start,y_start,raw_path,file_path,source_type
dibas,Clostridium.perfringens_0003_224_0_0,Clostridium.perfringens_0003,Clostridium.perfringens,1,bacilli,1,224,0,0,raw_data/Clostridium.perfringens/Clostridium.perfringens_0003.tif,patches_224/dibas/fold_1/Clostridium.perfringens_0003_224_0_0.png,real
dibas,Clostridium.perfringens_0003_224_224_0,Clostridium.perfringens_0003,Clostridium.perfringens,1,bacilli,1,224,224,0,raw_data/Clostridium.perfringens/Clostridium.perfringens_0003.tif,patches_224/dibas/fold_1/Clostridium.perfringens_0003_224_224_0.png,real
dibas,Clostridium.perfringens_0003_224_448_0,Clostridium.perfringens_0003,Clostridium.perfringens,1,bacilli,1,224,448,0,raw_data/Clostridium.perfringens/Clostridium.perfringens_0003.tif,patches_224/dibas/fold_1/Clostridium.perfringens_0003_224_448_0.png,real
dibas,Clostridium.perfringens_0003_224_672_0,Clostridium.perfringens_0003,Clostridium.perfringens,1,bacilli,1,224,672,0,raw_data/Clostridium.perfringens/Clostridium.perfringens_0003.tif,patches_224/dibas/fold_1/Clostridium.perfringens_0003_224_672_0.png,real
dibas,Clostridium.perfringens_0003_224_896_0,Clostridium.perfringens_0003,Clostridium.perfringens,1,bacilli,1,224,896,0,raw_data/Clostridium.perfringens/Clostridium.perfringens_0003.tif,patches_224/dibas/fold_1/Clostridium.perfringens_0003_224_896_0.png,real
dibas,Clostridium.perfringens_0003_224_1120_0,Clostridium.perfringens_0003,Clostridium.perfringens,1,bacilli,1,224,1120,0,raw_data/Clostridium.perfringens/Clostridium.perfringens_0003.tif,patches_224/dibas/fold_1/Clostridium.perfringens_0003_224_1120_0.png,real
dibas,Clostridium.perfringens_0003_224_1344_0,Clostridium.perfringens_0003,Clostridium.perfringens,1,bacilli,1,224,1344,0,raw_data/Clostridium.perfringens/Clostridium.perfringens_0003.tif,patches_224/dibas/fold_1/Clostridium.perfringens_0003_224_1344_0.png,real
dibas,Clostridium.perfringens_0003_224_1568_0,Clostridium.perfringens_0003,Clostridium.perfringens,1,bacilli,1,224,1568,0,raw_data/Clostridium.perfringens/Clostridium.perfringens_0003.tif,patches_224/dibas/fold_1/Clostridium.perfringens_0003_224_1568_0.png,real
dibas,Clostridium.perfringens_0003_224_1792_0,Clostridium.perfringens_0003,Clostridium.perfringens,1,bacilli,1,224,1792,0,raw_data/Clostridium.perfringens/Clostridium.perfringens_0003.tif,patches_224/dibas/fold_1/Clostridium.perfringens_0003_224_1792_0.png,real
dibas,Clostridium.perfringens_0003_224_0_224,Clostridium.perfringens_0003,Clostridium.perfringens,1,bacilli,1,224,0,224,raw_data/Clostridium.perfringens/Clostridium.perfringens_0003.tif,patches_224/dibas/fold_1/Clostridium.perfringens_0003_224_0_224.png,real
dibas,Clostridium.perfringens_0003_224_224_224,Clostridium.perfringens_0003,Clostridium.perfringens,1,bacilli,1,224,224,224,raw_data/Clostridium.perfringens/Clostridium.perfringens_0003.tif,patches_224/dibas/fold_1/Clostridium.perfringens_0003_224_224_224.png,real
dibas,Clostridium.perfringens_0003_224_448_224,Clostridium.perfringens_0003,Clostridium.perfringens,1,bacilli,1,224,448,224,raw_data/Clostridium.perfringens/Clostridium.perfringens_0003.tif,patches_224/dibas/fold_1/Clostridium.perfringens_0003_224_448_224.png,real
dibas,Clostridium.perfringens_0003_224_672_224,Clostridium.perfringens_0003,Clostridium.perfringens,1,bacilli,1,224,672,224,raw_data/Clostridium.perfringens/Clostridium.perfringens_0003.tif,patches_224/dibas/fold_1/Clostridium.perfringens_0003_224_672_224.png,real
dibas,Clostridium.perfringens_0003_224_896_224,Clostridium.perfringens_0003,Clostridium.perfringens,1,bacilli,1,224,896,224,raw_data/Clostridium.perfringens/Clostridium.perfringens_0003.tif,patches_224/dibas/fold_1/Clostridium.perfringens_0003_224_896_224.png,real
dibas,Clostridium.perfringens_0003_224_1120_224,Clostridium.perfringens_0003,Clostridium.perfringens,1,bacilli,1,224,1120,224,raw_data/Clostridium.perfringens/Clostridium.perfringens_0003.tif,patches_224/dibas/fold_1/Clostridium.perfringens_0003_224_1120_224.png,real
dibas,Clostridium.perfringens_0003_224_1344_224,Clostridium.perfringens_0003,Clostridium.perfringens,1,bacilli,1,224,1344,224,raw_data/Clostridium.perfringens/Clostridium.perfringens_0003.tif,patches_224/dibas/fold_1/Clostridium.perfringens_0003_224_1344_224.png,real
dibas,Clostridium.perfringens_0003_224_1568_224,Clostridium.perfringens_0003,Clostridium.perfringens,1,bacilli,1,224,1568,224,raw_data/Clostridium.perfringens/Clostridium.perfringens_0003.tif,patches_224/dibas/fold_1/Clostridium.perfringens_0003_224_1568_224.png,real
dibas,Clostridium.perfringens_0003_224_1792_224,Clostridium.perfringens_0003,Clostridium.perfringens,1,bacilli,1,224,1792,224,raw_data/Clostridium.perfringens/Clostridium.perfringens_0003.tif,patches_224/dibas/fold_1/Clostridium.perfringens_0003_224_1792_224.png,real
dibas,Clostridium.perfringens_0003_224_0_448,Clostridium.perfringens_0003,Clostridium.perfringens,1,bacilli,1,224,0,448,raw_data/Clostridium.perfringens/Clostridium.perfringens_0003.tif,patches_224/dibas/fold_1/Clostridium.perfringens_0003_224_0_448.png,real
